timestamp,frame,processing_ms,fps,cpu_percent,ram_mb,num_hands
2025-12-01T20:57:58.069288,224,31.749,27.11,14.0,12515.0,0
2025-12-01T20:57:58.105359,225,31.493,27.7,12.2,12515.0,0
2025-12-01T20:57:58.139038,226,28.459,29.65,15.0,12515.0,0
2025-12-01T20:57:58.168927,227,24.996,33.39,14.3,12515.0,0
2025-12-01T20:57:58.201655,228,28.184,30.62,13.2,12515.0,0
2025-12-01T20:57:58.236382,229,29.371,28.81,17.1,12515.0,0
2025-12-01T20:57:58.266643,230,25.684,32.96,11.4,12515.0,0
2025-12-01T20:57:58.302041,231,30.932,28.31,16.7,12515.0,0
2025-12-01T20:57:58.335053,232,29.166,30.25,13.2,12515.0,0
2025-12-01T20:57:58.366314,233,27.463,31.99,13.5,12515.0,0
2025-12-01T20:57:58.401177,234,30.209,28.7,12.5,12515.2,0
2025-12-01T20:57:58.434353,235,28.286,30.19,12.8,12515.2,0
2025-12-01T20:57:58.465701,236,27.137,31.83,16.2,12515.2,0
2025-12-01T20:57:58.498442,237,27.889,30.53,15.0,12515.2,0
2025-12-01T20:57:58.532171,238,29.208,29.71,15.0,12515.2,0
2025-12-01T20:57:58.571667,239,34.901,25.3,13.0,12515.5,0
2025-12-01T20:57:58.604488,240,28.372,30.47,15.4,12516.0,0
2025-12-01T20:57:58.636730,241,27.874,30.96,13.2,12516.0,0
2025-12-01T20:57:58.668381,242,27.376,31.68,11.1,12516.0,0
2025-12-01T20:57:58.701340,243,29.0,30.31,15.0,12516.0,0
2025-12-01T20:57:58.731990,244,26.963,32.6,16.2,12516.0,0
2025-12-01T20:57:58.762034,245,25.564,33.35,11.4,12516.0,0
2025-12-01T20:57:58.795823,246,29.196,29.54,17.1,12516.0,0
2025-12-01T20:57:58.827742,247,27.344,31.34,13.5,12516.0,0
2025-12-01T20:57:58.862400,248,29.999,28.87,16.7,12516.0,0
2025-12-01T20:57:58.895378,249,29.034,30.29,13.2,12516.0,0
2025-12-01T20:57:58.927180,250,28.151,31.47,13.2,12516.0,0
2025-12-01T20:57:58.961580,251,29.828,29.05,17.1,12516.0,0
2025-12-01T20:57:58.994017,252,27.852,30.93,13.2,12516.0,0
2025-12-01T20:57:59.023465,253,24.396,33.92,17.1,12516.0,0
2025-12-01T20:57:59.061523,254,33.041,26.27,13.6,12516.0,0
2025-12-01T20:57:59.092624,255,26.758,32.2,18.9,12517.9,0
2025-12-01T20:57:59.128698,256,30.571,27.69,16.7,12519.6,0
2025-12-01T20:57:59.161980,257,28.086,30.05,15.4,12519.9,0
2025-12-01T20:57:59.192243,258,24.982,33.06,13.9,12519.9,0
2025-12-01T20:57:59.220896,259,23.188,34.98,14.7,12519.9,0
2025-12-01T20:57:59.248748,260,22.688,35.93,15.2,12519.9,0
2025-12-01T20:57:59.274814,261,22.247,38.05,16.1,12519.9,0
2025-12-01T20:57:59.306484,262,26.793,31.67,13.5,12519.9,0
2025-12-01T20:57:59.342155,263,30.912,27.98,16.3,12519.9,0
2025-12-01T20:57:59.372535,264,25.589,32.89,16.2,12519.9,0
2025-12-01T20:57:59.397428,265,20.572,40.2,13.8,12519.9,0
2025-12-01T20:57:59.425938,266,24.741,35.1,17.1,12519.9,0
2025-12-01T20:57:59.463536,267,33.026,26.59,13.3,12519.9,0
2025-12-01T20:57:59.496463,268,28.041,30.44,15.4,12519.9,0
2025-12-01T20:57:59.532354,269,29.167,27.87,14.0,12519.9,0
2025-12-01T20:57:59.562752,270,26.367,32.78,13.9,12519.9,0
2025-12-01T20:57:59.593631,271,26.502,32.49,13.5,12519.9,0
2025-12-01T20:57:59.631738,272,32.898,26.4,13.3,12519.9,0
2025-12-01T20:57:59.665089,273,28.476,29.78,15.0,12520.1,0
2025-12-01T20:57:59.700661,274,31.361,28.05,11.9,12520.1,0
2025-12-01T20:57:59.730912,275,25.856,33.14,14.3,12520.1,0
2025-12-01T20:57:59.762229,276,27.03,31.93,15.8,12520.3,0
2025-12-01T20:57:59.791333,277,25.022,34.3,14.3,12520.3,0
2025-12-01T20:57:59.822523,278,26.674,32.1,11.1,12520.3,0
2025-12-01T20:57:59.856752,279,29.734,29.17,15.0,12520.3,0
2025-12-01T20:57:59.888194,280,27.091,31.81,13.5,12519.8,0
2025-12-01T20:57:59.922627,281,29.446,29.16,14.6,12519.8,0
2025-12-01T20:57:59.956530,282,29.89,29.36,14.6,12519.8,0
2025-12-01T20:57:59.983524,283,21.962,37.02,15.6,12519.8,0
2025-12-01T20:58:00.021742,284,33.77,26.2,15.6,12519.8,0
2025-12-01T20:58:00.053924,285,27.39,31.03,17.5,12519.8,0
2025-12-01T20:58:00.084397,286,25.767,32.83,13.9,12519.8,0
2025-12-01T20:58:00.120552,287,31.789,27.72,11.9,12519.8,0
2025-12-01T20:58:00.151884,288,26.725,31.92,16.2,12519.8,0
2025-12-01T20:58:00.190153,289,32.087,26.09,13.3,12519.8,0
2025-12-01T20:58:00.220148,290,25.696,33.44,11.4,12519.8,0
2025-12-01T20:58:00.254701,291,30.472,28.87,14.6,12519.8,0
2025-12-01T20:58:00.285429,292,26.826,32.54,13.5,12519.8,0
2025-12-01T20:58:00.316902,293,26.505,31.83,13.5,12519.8,0
2025-12-01T20:58:00.354096,294,30.836,26.89,15.9,12519.8,0
2025-12-01T20:58:00.386281,295,27.218,31.08,10.8,12519.8,0
2025-12-01T20:58:00.423641,296,32.569,26.72,15.6,12519.8,0
2025-12-01T20:58:00.455049,297,26.949,31.89,15.8,12519.8,0
2025-12-01T20:58:00.488600,298,28.628,29.83,10.5,12519.9,0
2025-12-01T20:58:00.521589,299,28.793,30.35,17.9,12519.9,0
2025-12-01T20:58:00.555522,300,28.878,29.35,14.6,12519.9,0
2025-12-01T20:58:00.587737,301,27.669,31.12,15.8,12519.9,0
2025-12-01T20:58:00.622998,302,30.972,28.34,16.7,12519.9,0
2025-12-01T20:58:00.661231,303,33.803,26.15,15.6,12519.9,0
2025-12-01T20:58:00.696720,304,30.63,28.16,14.3,12519.6,0
2025-12-01T20:58:00.732307,305,30.708,28.16,20.9,12519.3,0
2025-12-01T20:58:00.771341,306,33.997,25.59,13.6,12519.3,0
2025-12-01T20:58:00.801414,307,25.542,33.2,16.2,12519.3,0
2025-12-01T20:58:00.836177,308,30.583,28.75,14.3,12519.3,0
2025-12-01T20:58:00.862440,309,21.921,38.21,10.3,12519.3,0
2025-12-01T20:58:00.896906,310,29.629,29.03,14.6,12519.3,0
2025-12-01T20:58:00.932241,311,29.166,28.31,14.3,12519.3,0
2025-12-01T20:58:00.966310,312,30.195,29.27,12.5,12519.3,0
2025-12-01T20:58:00.999455,313,29.403,30.18,12.8,12519.3,0
2025-12-01T20:58:01.030567,314,26.418,32.23,13.9,12519.3,0
2025-12-01T20:58:01.064659,315,29.103,29.31,14.6,12519.3,0
2025-12-01T20:58:01.104475,316,32.633,25.3,17.0,12519.3,0
2025-12-01T20:58:01.142310,317,32.625,26.29,28.9,12525.3,0
2025-12-01T20:58:01.177134,318,29.682,28.6,17.5,12525.3,0
2025-12-01T20:58:01.213491,319,31.784,27.57,15.9,12525.3,0
2025-12-01T20:58:01.248353,320,30.648,28.78,15.0,12515.6,0
2025-12-01T20:58:01.283811,321,31.361,28.01,16.3,12515.6,0
2025-12-01T20:58:01.321657,322,33.478,26.43,14.0,12515.6,0
2025-12-01T20:58:01.357732,323,31.845,27.76,23.3,12516.5,0
2025-12-01T20:58:01.390720,324,28.744,30.27,13.2,12516.6,0
2025-12-01T20:58:01.418443,325,23.822,36.05,20.6,12516.6,0
2025-12-01T20:58:01.450443,326,28.315,31.27,15.4,12516.6,0
2025-12-01T20:58:01.479618,327,25.414,34.38,11.8,12516.6,0
2025-12-01T20:58:01.511958,328,27.543,30.88,15.4,12516.6,0
2025-12-01T20:58:01.546809,329,29.777,28.69,14.6,12516.6,0
2025-12-01T20:58:01.579100,330,27.101,30.98,13.5,12516.6,0
2025-12-01T20:58:01.612668,331,28.482,29.79,15.0,12516.6,0
2025-12-01T20:58:01.644091,332,27.172,31.81,11.1,12516.6,0
2025-12-01T20:58:01.673680,333,25.544,33.81,13.9,12516.6,0
2025-12-01T20:58:01.710623,334,32.46,27.02,14.0,12516.6,0
2025-12-01T20:58:01.747901,335,32.754,26.9,17.4,12514.2,0
2025-12-01T20:58:01.781964,336,28.039,29.31,17.1,12514.2,0
2025-12-01T20:58:01.814779,337,28.715,30.48,10.8,12514.2,0
2025-12-01T20:58:01.847806,338,28.155,30.28,17.1,12514.2,0
2025-12-01T20:58:01.881860,339,29.098,29.38,12.5,12514.2,0
2025-12-01T20:58:01.917732,340,30.757,27.91,14.3,12514.2,0
2025-12-01T20:58:01.951947,341,29.053,29.14,12.5,12514.2,0
2025-12-01T20:58:01.987726,342,28.214,28.0,16.3,12514.2,0
2025-12-01T20:58:02.027628,343,34.724,25.07,18.7,12514.5,0
2025-12-01T20:58:02.069659,344,36.613,23.78,19.6,12514.5,0
2025-12-01T20:58:02.105069,345,30.47,28.22,12.2,12514.5,0
2025-12-01T20:58:02.137386,346,28.401,30.96,13.2,12514.5,0
2025-12-01T20:58:02.172613,347,28.498,28.4,14.6,12514.5,0
2025-12-01T20:58:02.199253,348,22.594,37.55,18.7,12514.5,0
2025-12-01T20:58:02.225154,349,21.375,38.48,18.7,12514.5,0
2025-12-01T20:58:02.264577,350,35.046,25.37,13.0,12514.2,0
2025-12-01T20:58:02.296596,351,27.357,31.22,15.8,12514.2,0
2025-12-01T20:58:02.333786,352,32.73,26.95,15.9,12514.2,0
2025-12-01T20:58:02.371714,353,32.736,26.37,15.6,12514.5,0
2025-12-01T20:58:02.403797,354,27.858,31.1,13.5,12514.5,0
2025-12-01T20:58:02.438633,355,30.115,28.74,16.7,12514.5,0
2025-12-01T20:58:02.473816,356,30.235,28.41,14.3,12514.5,0
2025-12-01T20:58:02.508394,357,29.949,28.9,14.6,12514.5,0
2025-12-01T20:58:02.544084,358,31.022,28.02,12.2,12514.5,0
2025-12-01T20:58:02.578094,359,29.059,29.45,12.8,12514.5,0
2025-12-01T20:58:02.612794,360,29.617,28.76,16.3,12514.5,0
2025-12-01T20:58:02.644398,361,26.964,31.76,11.4,12514.5,0
2025-12-01T20:58:02.678241,362,29.075,29.54,14.6,12512.2,0
2025-12-01T20:58:02.719846,363,36.975,24.09,16.7,12512.2,0
2025-12-01T20:58:02.760111,364,34.77,24.81,14.9,12513.2,0
2025-12-01T20:58:02.804963,365,38.429,22.28,17.0,12512.9,0
2025-12-01T20:58:02.849502,366,38.583,22.59,18.5,12513.2,0
2025-12-01T20:58:02.888194,367,32.489,25.65,15.6,12513.2,0
2025-12-01T20:58:02.923665,368,30.045,28.32,12.5,12513.2,0
2025-12-01T20:58:02.956762,369,28.831,30.01,15.0,12515.1,0
2025-12-01T20:58:02.990382,370,29.607,29.72,17.1,12515.4,0
2025-12-01T20:58:03.021363,371,27.105,32.32,17.1,12515.4,0
